id,judgement_id,contributor_id,bounce_id,deduction_value,deduction_json
1,1,1,5,0.1,
2,1,1,6,0.1,
3,1,1,7,0.3,
4,1,1,8,0.2,
5,1,1,9,0.3,
6,1,1,10,0.2,
7,1,1,11,0.3,
8,1,1,12,0.3,
9,1,1,13,0.5,
10,1,1,14,0.5,
11,1,1,15,0.3,
12,1,1,16,0.5,
13,2,1,5,0.1,
14,2,1,6,0.1,
15,2,1,7,0.3,
16,2,1,8,0.2,
17,2,1,9,0.3,
18,2,1,10,0.2,
19,2,1,11,0.3,
20,2,1,12,0.3,
21,2,1,13,0.5,
22,2,1,14,0.5,
23,2,1,15,0.3,
24,2,1,16,0.5,
25,3,1,5,0.1,
26,3,1,6,0.1,
27,3,1,7,0.3,
28,3,1,8,0.2,
29,3,1,9,0.3,
30,3,1,10,0.2,
31,3,1,11,0.3,
32,3,1,12,0.3,
33,3,1,13,0.5,
34,3,1,14,0.5,
35,3,1,15,0.3,
36,3,1,16,0.5,
37,4,2,5,0.1,
38,4,2,6,0.0,
39,4,2,7,0.2,
40,4,2,8,0.2,
41,4,2,9,0.1,
42,4,2,10,0.1,
43,4,2,11,0.2,
44,4,2,12,0.3,
45,4,2,13,0.3,
46,4,2,14,0.4,
47,4,2,15,0.2,
48,4,2,16,0.3,
49,5,3,5,0.0,
50,5,3,6,0.0,
51,5,3,7,0.1,
52,5,3,8,0.2,
53,5,3,9,0.2,
54,5,3,10,0.1,
55,5,3,11,0.1,
56,5,3,12,0.2,
57,5,3,13,0.4,
58,5,3,14,0.4,
59,5,3,15,0.3,
60,5,3,16,0.3,
61,6,1,19,0.1,
62,6,1,20,0.1,
63,6,1,21,0.1,
64,6,1,22,0.1,
65,6,1,23,0.1,
66,6,1,24,0.1,
67,6,1,25,0.2,
68,6,1,26,0.2,
69,6,1,27,0.1,
70,6,1,28,0.3,
71,7,2,19,0.1,
72,7,2,20,0.0,
73,7,2,21,0.1,
74,7,2,22,0.0,
75,7,2,23,0.0,
76,7,2,24,0.1,
77,7,2,25,0.1,
78,7,2,26,0.1,
79,7,2,27,0.2,
80,7,2,28,0.0,
81,8,3,19,0.2,
82,8,3,20,0.0,
83,8,3,21,0.1,
84,8,3,22,0.1,
85,8,3,23,0.0,
86,8,3,24,0.0,
87,8,3,25,0.0,
88,8,3,26,0.2,
89,8,3,27,0.1,
90,8,3,28,0.1,
91,9,2,32,0.2,
92,9,2,33,0.1,
93,9,2,34,0.0,
94,9,2,35,0.2,
95,9,2,36,0.2,
96,9,2,37,0.3,
97,9,2,38,0.3,
98,9,2,39,0.4,
99,9,2,40,0.2,
100,9,2,41,0.2,
101,10,3,32,0.1,
102,10,3,33,0.0,
103,10,3,34,0.0,
104,10,3,35,0.0,
105,10,3,36,0.1,
106,10,3,37,0.1,
107,10,3,38,0.3,
108,10,3,39,0.5,
109,10,3,40,0.3,
110,10,3,41,0.2,
111,11,2,,0.3,
112,11,2,,0.3,
113,11,2,,0.2,
114,11,2,,0.2,
115,11,2,,0.2,
116,11,2,,0.3,
117,11,2,,0.4,
118,11,2,,0.2,
119,11,2,,0.2,
120,12,3,,0.2,
121,12,3,,0.3,
122,12,3,,0.1,
123,12,3,,0.1,
124,12,3,,0.1,
125,12,3,,0.2,
126,12,3,,0.3,
127,12,3,,0.3,
128,12,3,,0.2,
129,13,2,60,0.1,
130,13,2,61,0.2,
131,13,2,62,0.1,
132,13,2,63,0.2,
133,13,2,64,0.2,
134,13,2,65,0.0,
135,13,2,66,0.1,
136,13,2,67,0.3,
137,13,2,68,0.2,
138,13,2,69,0.2,
139,14,3,60,0.2,
140,14,3,61,0.1,
141,14,3,62,0.3,
142,14,3,63,0.2,
143,14,3,64,0.1,
144,14,3,65,0.4,
145,14,3,66,0.3,
146,14,3,67,0.3,
147,14,3,68,0.3,
148,14,3,69,0.2,
149,15,2,75,0.3,
150,15,2,77,0.4,
151,15,2,78,0.3,
152,15,2,79,0.3,
153,15,2,83,0.5,
154,16,3,75,0.4,
155,16,3,77,0.4,
156,16,3,78,0.3,
157,16,3,79,0.4,
158,16,3,83,0.5,
159,17,2,,0.2,
160,17,2,,0.2,
