id,routine_id,bounce_index,skill_name,start_frame,end_frame,start_time,end_time,apex_time,apex_frame,start_height,end_height,apex_height
1,1,0,In/Out Bounce,82,122,2.73,4.06,3.4,102,204,200,304
2,1,1,In/Out Bounce,122,163,4.06,5.43,4.73,142,200,202,357
3,1,2,In/Out Bounce,163,208,5.43,6.93,6.2,186,202,201,373
4,1,3,In/Out Bounce,208,253,6.93,8.43,7.73,232,201,210,372
5,1,4,Front Drop,253,306,8.43,10.19,9.19,276,210,173,368
6,1,5,To Feet (from front),306,344,10.19,11.46,10.79,324,173,212,331
7,1,6,Straddle Jump,344,389,11.46,12.96,12.19,366,212,202,366
8,1,7,Full Twist Jump,389,433,12.96,14.42,13.72,412,202,201,365
9,1,8,Seat Drop,433,476,14.42,15.86,15.12,454,201,182,356
10,1,9,Swivel Hips/Seat Half Twist to Seat Drop,476,531,15.86,17.69,16.72,502,182,184,345
11,1,10,Half Twist to Feet (from seat),531,569,17.69,18.95,18.29,549,184,201,328
12,1,11,Pike Jump,569,612,18.95,20.39,19.65,590,201,204,347
13,1,12,Back Drop,612,661,20.39,22.02,21.12,634,204,175,352
14,1,13,To Feet (from back),661,699,22.02,23.28,22.65,680,175,208,323
15,1,14,Tuck Jump,699,740,23.28,24.65,23.95,719,208,214,347
16,1,15,Tuck Jump,740,783,24.65,26.08,25.28,759,214,206,342
17,2,0,In/Out Bounce,17,57,0.57,1.9,1.27,38,226,222,363
18,2,1,In/Out Bounce,57,97,1.9,3.23,2.53,76,222,236,396
19,2,2,Front Drop,97,140,3.23,4.67,3.97,119,236,196,393
20,2,3,To Feet (from front),140,189,4.67,6.3,5.8,174,196,235,368
21,2,4,Straddle Jump,189,232,6.3,7.73,7.2,216,235,240,390
22,2,5,Half Twist Jump,232,275,7.73,9.17,8.33,250,240,222,414
23,2,6,Seat Drop,275,318,9.17,10.6,10.03,301,222,200,390
24,2,7,Swivel Hips/Seat Half Twist to Seat Drop,318,373,10.6,12.43,11.37,341,200,204,408
25,2,8,Half Twist to Feet (from seat),373,413,12.43,13.77,13.07,392,204,215,402
26,2,9,Tuck Jump,413,457,13.77,15.23,14.5,435,215,232,397
27,2,10,Pike Jump,457,501,15.23,16.7,15.97,479,232,241,409
28,2,11,Full Twist Jump,501,546,16.7,18.2,17.5,525,241,221,407
29,2,12,In/Out Bounce,546,592,18.2,19.73,18.93,568,221,220,381
30,3,0,In/Out Bounce,37,83,1.23,2.77,0.37,11,207,203,315
31,3,1,In/Out Bounce,83,137,2.77,4.57,1.9,57,203,204,362
32,3,2,Back S/S,137,184,4.57,6.13,3.73,112,204,206,354
33,3,3,Straddle Jump,184,232,6.13,7.73,5.33,160,206,203,379
34,3,4,Seat Drop,232,281,7.73,9.37,6.93,208,203,202,363
35,3,5,Swivel Hips/Seat Half Twist to Seat Drop,281,332,9.37,11.07,8.7,261,202,202,369
36,3,6,Half Twist to Feet (from seat),332,381,11.07,12.7,10.4,312,202,202,340
37,3,7,Pike Jump,381,428,12.7,14.27,12.07,362,202,206,316
38,3,8,Back Drop,428,482,14.27,16.07,13.53,406,206,204,319
39,3,9,To Feet (from back),482,515,16.07,17.17,15.07,452,204,196,317
40,3,10,Tuck Jump,515,568,17.17,18.93,16.6,498,196,204,284
41,3,11,Full Twist Jump,568,616,18.93,20.53,18.03,541,204,203,343
42,4,0,In/Out Bounce,35,80,1.17,2.67,0.43,13,181,187,312
43,4,1,In/Out Bounce,80,128,2.67,4.27,1.9,57,187,184,307
44,4,2,In/Out Bounce,128,173,4.27,5.77,3.47,104,184,189,312
45,4,3,In/Out Bounce,173,218,5.77,7.27,4.97,149,189,189,314
46,4,4,In/Out Bounce,218,263,7.27,8.77,6.5,195,189,194,307
47,4,5,Back S/S,263,308,8.77,10.27,8.07,242,194,187,307
48,4,6,Straddle Jump,308,354,10.27,11.8,9.57,287,187,194,320
49,4,7,Back S/S to Seat,354,408,11.8,13.6,10.97,329,194,179,313
50,4,8,Half Twist to Feet (from seat),408,450,13.6,15.0,12.57,377,179,188,319
51,4,9,Pike Jump,450,497,15.0,16.57,14.27,428,188,195,301
52,4,10,Back S/S,497,542,16.57,18.07,15.73,472,195,198,315
53,4,11,Barani,542,588,18.07,19.6,17.2,516,198,192,320
54,4,12,Tuck Jump,588,634,19.6,21.13,18.8,564,192,193,325
55,4,13,Crash Dive,634,682,21.13,22.73,20.3,609,193,175,311
56,5,0,In/Out Bounce,22,67,0.73,2.23,1.57,47,194,196,350
57,5,1,In/Out Bounce,67,112,2.23,3.73,3.03,91,196,192,356
58,5,2,In/Out Bounce,112,156,3.73,5.2,4.5,135,192,193,367
59,5,3,In/Out Bounce,156,203,5.2,6.77,5.97,179,193,205,365
60,5,4,Back S/S,203,250,6.77,8.33,7.53,226,205,208,376
61,5,5,Barani,250,294,8.33,9.8,9.03,271,208,209,358
62,5,6,Straddle Jump,294,338,9.8,11.27,10.57,317,209,207,349
63,5,7,Back S/S,338,382,11.27,12.73,12.0,360,207,211,359
64,5,8,Barani,382,427,12.73,14.23,13.5,405,211,213,355
65,5,9,Tuck Jump,427,469,14.23,15.63,14.87,446,213,208,344
66,5,10,Pike Jump,469,513,15.63,17.1,16.37,491,208,209,345
67,5,11,Barani,513,554,17.1,18.47,17.83,535,209,202,341
68,5,12,Tuck Jump,554,597,18.47,19.9,19.13,574,202,210,343
69,5,13,Front S/S,597,639,19.9,21.3,20.63,619,210,198,353
70,5,14,In/Out Bounce,639,681,21.3,22.7,21.97,659,198,194,329
71,6,0,In/Out Bounce,26,154,0.87,5.13,0.8,24,319,214,357
72,6,1,In/Out Bounce,154,188,5.13,6.27,1.23,37,214,214,339
73,6,2,In/Out Bounce,188,222,6.27,7.4,5.8,174,214,213,247
74,6,3,In/Out Bounce,222,258,7.4,8.6,6.8,204,213,228,259
75,6,4,Full Twist Jump,258,295,8.6,9.83,7.93,238,228,231,260
76,6,5,Broken,295,386,9.83,12.87,9.23,277,231,204,266
77,6,6,Swivel Hips/Seat Half Twist to Seat Drop,386,421,12.87,14.03,11.3,339,204,206,288
78,6,7,To Feet (from seat),421,465,14.03,15.5,13.37,401,206,210,263
79,6,8,Tuck Jump,465,504,15.5,16.8,14.83,445,210,212,255
80,6,9,Broken,504,585,16.8,19.5,16.13,484,212,234,279
81,6,10,Broken,585,616,19.5,20.53,17.33,520,234,238,263
82,6,11,Broken,616,631,20.53,21.03,20.03,601,238,235,267
83,6,12,To Feet (from back),631,673,21.03,22.43,20.9,627,235,205,264
84,6,13,In/Out Bounce,673,724,22.43,24.13,21.57,647,205,216,269
85,7,0,In/Out Bounce,108,141,3.6,4.7,4.1,123,203,205,244
86,7,1,In/Out Bounce,141,178,4.7,5.93,5.27,158,205,199,262
87,7,2,Full Twist Jump,178,217,5.93,7.23,6.47,194,199,201,286
88,7,3,Pike Jump,217,259,7.23,8.63,7.93,238,201,203,293
89,7,4,Half Twist to Seat Drop,259,307,8.63,10.23,9.3,279,203,193,286
90,7,5,Swivel Hips/Seat Half Twist to Seat Drop,307,342,10.23,11.4,10.73,322,193,193,266
91,7,6,To Feet (from seat),342,382,11.4,12.73,12.13,364,193,201,243
92,7,7,Tuck Jump,382,421,12.73,14.03,13.3,399,201,200,276
93,7,8,Half Twist Jump,421,460,14.03,15.33,14.67,440,200,202,288
94,7,9,Pike Jump,460,501,15.33,16.7,15.97,479,202,203,289
95,7,10,Back Drop,501,549,16.7,18.3,17.4,522,203,187,289
96,8,0,In/Out Bounce,114,145,3.8,4.83,4.47,134,225,221,278
97,8,1,In/Out Bounce,145,178,4.83,5.93,5.37,161,221,221,301
98,8,2,In/Out Bounce,178,210,5.93,7.0,6.47,194,221,225,305
99,8,3,In/Out Bounce,210,245,7.0,8.17,7.63,229,225,246,334
100,8,4,Front Drop,245,276,8.17,9.2,8.57,257,246,194,292
101,8,5,Broken,276,342,9.2,11.4,10.77,323,194,218,286
102,8,6,Seat Drop,342,382,11.4,12.73,11.9,357,218,199,283
103,8,7,Swivel Hips/Seat Half Twist to Seat Drop,382,421,12.73,14.03,13.2,396,199,196,270
104,8,8,Half Twist to Feet (from seat),421,440,14.03,14.67,14.57,437,196,209,284
105,8,9,Straddle Jump,440,480,14.67,16.0,15.57,467,209,204,296
106,8,10,Half Twist Jump,480,514,16.0,17.13,16.67,500,204,220,310
107,8,11,Tuck Jump,514,550,17.13,18.33,17.9,537,220,213,302
108,8,12,Full Twist Jump,550,586,18.33,19.53,18.83,565,213,209,290
109,9,0,In/Out Bounce,121,154,4.03,5.13,3.8,114,222,219,262
110,9,1,Front Drop,154,196,5.13,6.53,4.87,146,219,192,264
111,9,2,To Feet (from front),196,222,6.53,7.4,5.7,171,192,195,266
112,9,3,In/Out Bounce,222,258,7.4,8.6,6.93,208,195,211,235
113,9,4,In/Out Bounce,258,288,8.6,9.6,8.1,243,211,221,265
114,9,5,Straddle Jump,288,324,9.6,10.8,9.2,276,221,206,267
115,9,6,Seat Drop,324,364,10.8,12.13,10.1,303,206,194,267
116,9,7,Swivel Hips/Seat Half Twist to Seat Drop,364,401,12.13,13.37,11.23,337,194,195,271
117,9,8,Broken,401,461,13.37,15.37,12.57,377,195,206,237
118,9,9,Half Twist Jump,461,492,15.37,16.4,14.77,443,206,213,256
119,9,10,Tuck Jump,492,526,16.4,17.53,15.83,475,213,208,252
120,9,11,Full Twist Jump,526,559,17.53,18.63,16.93,508,208,205,259
121,9,12,In/Out Bounce,559,593,18.63,19.77,18.0,540,205,207,253
122,10,0,In/Out Bounce,113,146,3.77,4.87,4.3,129,208,207,256
123,10,1,In/Out Bounce,146,185,4.87,6.17,5.5,165,207,205,276
124,10,2,In/Out Bounce,185,224,6.17,7.47,6.87,206,205,205,284
125,10,3,In/Out Bounce,224,262,7.47,8.73,8.13,244,205,205,286
126,10,4,In/Out Bounce,262,304,8.73,10.13,9.4,282,205,203,290
127,10,5,Full Twist Jump,304,341,10.13,11.37,10.7,321,203,205,285
128,10,6,Straddle Jump,341,382,11.37,12.73,12.0,360,205,214,294
